Date,qty,value,stock,buy,qty_sum,invest,market_value,rendite,rendite%,broker,tax,profit,cash,depot,broker_sum,tax_sum,cost_sum
2021-03-03,30,133.12,SIE,3993.60,30,3993.60,3993.60,0.00,0.00,40,0.00,-40.00,6006.40,10000.00,40,0.00,40.00
2021-03-08,5,134.52,SIE,672.60,35,4666.20,4708.20,42.00,0.90,40,1.00,1.00,5333.80,10042.00,80,1.00,81.00
2021-04-06,-1,141.24,SIE,-141.24,34,4524.96,4802.16,277.20,6.13,40,118.60,118.60,5475.04,10277.20,120,119.60,239.60
2021-11-10,0,146.96,SIE,0.00,34,4524.96,4996.64,471.68,10.42,40,215.84,215.84,5475.04,10471.68,160,335.44,495.44
2022-04-01,0,126.70,SIE,0.00,34,4524.96,4307.80,-217.16,-4.80,40,0.00,-257.16,5475.04,9782.84,200,335.44,535.44
