Date,qty,value,stock,buy,qty_sum,invest,market_value,rendite,rendite%,broker,tax,profit,cash,depot,broker_sum,tax_sum,cost_sum
2022-04-01,0,126.70,SIE,0.00,34,4524.96,4307.80,-217.16,-4.80,40,0.00,-257.16,5475.04,9782.84,200,335.44,535.44
2022-04-01,0,228.20,VOW,0.00,25,6142.70,5705.00,-437.70,-7.13,40,0.00,-477.70,3857.30,9562.30,200,1250.74,1450.74
