Date,Open,High,Low,Close,Volume,Closen,sma,bbm,bbh,bbl,CCI,CloseOpen_g,rmax,rmin,Close_ah,Close_al,Close_ah_2,Close_al_2,Close_r,Close_f,Close_rp,Closebbh_c,Close_ah100_v,Close_74,vol
2020-01-02,109.52,111.87,109.52,111.62,1704827,110.55,,,,,,1.88,,,,,,,0.00,0.00,,0.00,0,,0.83
2020-01-03,110.66,110.81,108.67,109.48,2036380,109.23,,,,,,-1.08,,,,,,,0.00,109.48,,0.00,0,,0.99
2020-01-06,108.39,109.35,107.35,108.97,1690665,109.32,,,,,,0.53,,,,,,,0.00,108.97,,0.00,0,,0.82
2020-01-07,109.52,110.27,108.65,109.67,2254128,109.90,,,,,,0.14,,,,,,,109.67,0.00,,0.00,0,,1.10
2020-01-08,109.14,110.32,107.92,110.12,1818646,110.76,,,,,,0.89,,,,,,,110.12,0.00,,0.00,0,,0.88
2020-01-09,111.19,111.53,110.89,111.40,1735444,110.27,,,,,,0.19,,,,,,,111.40,0.00,111.40,0.00,0,,0.84
2020-01-10,111.27,111.36,109.14,109.14,2057534,109.03,110.06,110.06,111.54,108.57,-86.43,-1.95,111.62,108.97,,,,,0.00,109.14,,0.00,0,,1.00
2020-01-13,109.82,109.97,108.03,108.91,1950968,109.22,109.67,109.67,110.89,108.45,-86.99,-0.84,111.40,108.91,,,,,0.00,108.91,,0.00,0,,0.95
2020-01-14,108.88,109.99,108.25,109.52,1620841,109.21,109.68,109.68,110.90,108.45,-17.85,0.58,111.40,108.91,,,,,109.52,0.00,109.52,0.00,0,,0.79
2020-01-15,109.31,109.82,108.86,108.89,1364682,109.05,109.66,109.66,110.90,108.43,-87.63,-0.39,111.40,108.89,42.857142857142854,100.0,98.25714285714285,98.6,0.00,108.89,,0.00,0,,0.66
2020-01-16,108.57,109.20,108.22,109.20,1596188,109.69,109.60,109.60,110.86,108.34,-44.09,0.58,111.40,108.89,28.571428571428573,85.71428571428571,98.17142857142858,98.51428571428572,109.20,0.00,,0.00,0,,0.78
2020-01-17,109.70,110.17,109.46,110.17,2426127,110.04,109.60,109.60,110.87,108.34,62.45,0.43,111.40,108.89,14.285714285714286,71.42857142857143,98.08571428571429,98.42857142857143,110.17,0.00,110.17,0.00,0,,1.18
2020-01-20,109.78,110.36,109.48,109.91,1050304,110.09,109.39,109.39,110.09,108.70,104.60,0.12,110.17,108.89,0.0,57.142857142857146,98.0,98.34285714285714,0.00,109.91,,0.00,0,,0.51
2020-01-21,109.65,110.49,109.01,110.27,1244010,109.72,109.55,109.55,110.36,108.74,124.18,0.56,110.27,108.89,100.0,42.857142857142854,98.6,98.25714285714285,110.27,0.00,110.27,0.00,100.0,,0.60
2020-01-22,110.40,111.08,109.10,109.16,1710320,108.96,109.59,109.59,110.34,108.84,-79.74,-1.14,110.27,108.89,85.71428571428571,28.571428571428573,98.51428571428572,98.17142857142858,0.00,109.16,,0.00,0,,0.83
2020-01-23,108.69,109.55,108.33,108.76,1667947,109.86,109.48,109.48,110.35,108.61,-115.48,0.06,110.27,108.76,71.42857142857143,100.0,98.42857142857143,98.6,0.00,108.76,,0.00,0,,0.81
2020-01-24,109.42,111.57,109.40,110.95,2244963,109.49,109.77,109.77,110.85,108.70,153.09,1.38,110.95,108.76,100.0,85.71428571428571,98.6,98.51428571428572,110.95,0.00,110.95,110.85,100.0,,1.09
2020-01-27,109.52,109.63,107.88,108.03,2696175,108.29,109.61,109.61,111.01,108.20,-156.98,-1.38,110.95,108.03,85.71428571428571,100.0,98.51428571428572,98.6,0.00,108.03,,-111.01,0,,1.31
2020-01-28,108.67,108.93,107.54,108.54,1840982,108.99,109.37,109.37,110.83,107.92,-80.16,-0.12,110.95,108.03,71.42857142857143,85.71428571428571,98.42857142857143,98.51428571428572,108.54,0.00,,0.00,0,,0.90
2020-01-29,108.46,109.78,108.22,109.44,1599366,108.23,109.31,109.31,110.73,107.89,13.09,0.90,110.95,108.03,57.142857142857146,71.42857142857143,98.34285714285714,98.42857142857143,109.44,0.00,109.44,0.00,0,,0.78
2020-01-30,108.48,108.48,106.71,107.01,2039436,106.03,108.84,108.84,110.56,107.13,-149.40,-1.37,110.95,107.01,42.857142857142854,100.0,98.25714285714285,98.6,0.00,107.01,,0.00,0,,0.99
2020-01-31,107.16,107.41,104.83,105.04,2707006,104.84,108.25,108.25,110.87,105.64,-171.98,-2.02,110.95,105.04,28.571428571428573,100.0,98.17142857142858,98.6,0.00,105.04,,0.00,0,,1.32
2020-02-03,104.74,105.49,104.17,104.64,2381787,105.47,107.66,107.66,110.86,104.47,-132.39,-0.10,110.95,104.64,14.285714285714286,100.0,98.08571428571429,98.6,0.00,104.64,,0.00,0,,1.16
